Portefølje vægte,AAPL,MSFT,AMZN,GOOGL,BRK-B,TSLA,NVDA,GOOG,UNH,JPM,AVGO,V,BAC,HD,MA,MRK,ABBV,LLY,UPS,CAT
21/06/2021,20%,20%,20%,-10%,-10%,16%,17%,-7%,-6%,-10%,-10%,-10%,-10%,20%,20%,20%,-10%,20%,20%,-10%
22/06/2021,20%,20%,-4%,-3%,-10%,4%,13%,-10%,12%,-10%,-10%,20%,-10%,20%,20%,8%,-10%,20%,20%,-10%
23/06/2021,20%,20%,-10%,-4%,-10%,12%,-3%,-10%,13%,-10%,-10%,20%,20%,20%,20%,-10%,-7%,-10%,20%,20%
24/06/2021,1%,16%,-10%,0%,-10%,13%,-8%,-10%,14%,9%,-9%,20%,20%,20%,-10%,-10%,-7%,20%,20%,19%
25/06/2021,-8%,-10%,-10%,-2%,-10%,20%,5%,-10%,20%,20%,-10%,5%,20%,20%,20%,12%,-10%,20%,7%,0%
28/06/2021,-8%,20%,-10%,-2%,-10%,20%,10%,-10%,20%,20%,5%,-10%,20%,20%,-10%,20%,-10%,20%,-6%,2%
29/06/2021,14%,20%,-10%,-10%,-9%,7%,12%,-10%,15%,20%,4%,-8%,6%,20%,-10%,20%,-10%,20%,20%,-10%
30/06/2021,20%,20%,-10%,-10%,20%,-2%,16%,-10%,20%,20%,7%,-10%,-2%,20%,-10%,20%,-10%,-9%,20%,-10%
01/07/2021,20%,20%,-6%,-10%,5%,-2%,20%,-10%,-4%,20%,4%,-10%,-10%,20%,-10%,20%,3%,19%,20%,-10%
02/07/2021,20%,20%,-9%,16%,-10%,-8%,0%,-10%,12%,20%,-10%,4%,-10%,20%,-5%,20%,-1%,20%,20%,-10%
06/07/2021,20%,-4%,20%,20%,1%,-9%,1%,0%,20%,-10%,-10%,-10%,-10%,2%,6%,20%,13%,20%,20%,-10%
07/07/2021,20%,5%,20%,-5%,-8%,-10%,-7%,20%,20%,-10%,-10%,20%,-10%,13%,-10%,12%,10%,20%,20%,-10%
08/07/2021,20%,-10%,20%,-10%,-10%,-10%,-10%,20%,20%,20%,-10%,20%,-10%,-10%,-10%,20%,20%,20%,20%,-10%
09/07/2021,20%,-10%,20%,-10%,20%,-10%,-10%,19%,20%,-10%,20%,-3%,-10%,10%,-10%,0%,14%,20%,20%,-10%
12/07/2021,20%,-10%,8%,-10%,20%,2%,-10%,-6%,20%,20%,20%,-10%,-10%,18%,-10%,-10%,17%,8%,3%,20%
13/07/2021,-4%,-10%,-10%,-1%,13%,20%,-10%,13%,20%,20%,20%,13%,-5%,-10%,20%,-10%,18%,11%,-10%,2%
14/07/2021,20%,-7%,-10%,20%,20%,-1%,-10%,-1%,20%,20%,14%,20%,-10%,3%,20%,-4%,3%,1%,-8%,-10%
15/07/2021,20%,2%,-10%,-4%,-3%,-4%,-10%,20%,20%,20%,-2%,20%,-10%,18%,20%,20%,4%,-10%,-1%,-10%
16/07/2021,20%,19%,-10%,-10%,20%,-10%,-10%,20%,20%,-10%,-10%,20%,-10%,20%,20%,20%,2%,-6%,4%,-10%
19/07/2021,20%,20%,-10%,-10%,17%,-6%,-10%,20%,7%,-10%,-10%,20%,-10%,20%,-2%,20%,-6%,20%,20%,-10%
20/07/2021,-10%,20%,-10%,-10%,20%,14%,-10%,20%,20%,-10%,-10%,19%,-10%,20%,-10%,10%,6%,20%,20%,-10%
21/07/2021,-10%,20%,-10%,20%,20%,9%,8%,20%,-8%,-10%,13%,-10%,-10%,20%,-10%,-10%,13%,20%,20%,-5%
22/07/2021,-10%,20%,8%,0%,20%,-1%,20%,17%,-10%,-10%,17%,-10%,5%,20%,-10%,-10%,1%,20%,20%,-7%
23/07/2021,8%,19%,-10%,20%,8%,-8%,-9%,20%,4%,20%,8%,-10%,-10%,20%,20%,-8%,-2%,20%,-10%,-1%
26/07/2021,-10%,11%,-2%,20%,-10%,-9%,-5%,20%,-10%,20%,14%,15%,-10%,20%,20%,20%,-5%,20%,-10%,-8%
27/07/2021,7%,3%,-6%,20%,20%,-4%,-10%,20%,-3%,-10%,-5%,20%,-10%,20%,20%,20%,-1%,20%,-10%,-10%
28/07/2021,-10%,-10%,-10%,20%,12%,-1%,-10%,20%,-10%,20%,8%,20%,-6%,13%,3%,20%,4%,20%,-10%,7%
29/07/2021,-10%,-10%,-10%,20%,20%,11%,-4%,-10%,-10%,20%,6%,16%,20%,-10%,-10%,17%,14%,20%,-10%,20%
30/07/2021,-10%,-10%,-10%,20%,20%,20%,5%,-10%,20%,20%,17%,-10%,18%,12%,-10%,20%,-10%,20%,-10%,-10%
02/08/2021,-10%,3%,-10%,20%,15%,20%,10%,-10%,20%,20%,20%,-10%,8%,20%,-10%,4%,-10%,20%,-9%,-10%
03/08/2021,17%,5%,-10%,-10%,20%,20%,-4%,9%,20%,20%,9%,-10%,-6%,20%,-10%,-10%,-10%,20%,20%,-10%
04/08/2021,19%,11%,-10%,-10%,20%,12%,5%,9%,20%,7%,4%,-10%,-10%,20%,-10%,8%,-10%,20%,14%,-10%
05/08/2021,0%,20%,-1%,-10%,20%,10%,18%,20%,11%,20%,-6%,-10%,10%,20%,-10%,-6%,-10%,20%,-5%,-10%
06/08/2021,-1%,20%,-9%,-10%,20%,-3%,4%,12%,-1%,20%,-4%,15%,20%,20%,-10%,-2%,-10%,20%,0%,-2%
09/08/2021,-10%,0%,-10%,6%,20%,-1%,3%,20%,-10%,20%,-1%,20%,20%,6%,20%,2%,-10%,20%,-10%,-6%
10/08/2021,-10%,-10%,-10%,8%,20%,0%,-10%,20%,-10%,20%,-5%,20%,20%,15%,-7%,9%,-5%,20%,-7%,20%
11/08/2021,-5%,-9%,-10%,2%,20%,0%,-10%,20%,0%,20%,-1%,-10%,20%,20%,-10%,13%,-10%,20%,10%,20%
12/08/2021,20%,-10%,-10%,20%,20%,6%,-10%,-2%,-10%,20%,-8%,-10%,20%,20%,-10%,20%,4%,5%,-5%,20%
13/08/2021,20%,20%,-10%,8%,-10%,0%,-10%,-10%,-10%,20%,-6%,-10%,20%,20%,-10%,20%,20%,-10%,18%,20%
16/08/2021,20%,20%,-10%,20%,-5%,-2%,-10%,-10%,17%,-2%,7%,-10%,-10%,20%,-10%,20%,20%,-7%,20%,12%
17/08/2021,20%,20%,-10%,15%,15%,-8%,-6%,-10%,20%,-10%,2%,12%,-10%,-10%,-10%,20%,20%,20%,20%,-10%
18/08/2021,14%,20%,-10%,-3%,20%,-10%,-10%,-10%,20%,-10%,-9%,20%,-10%,-10%,18%,20%,20%,20%,20%,-10%
19/08/2021,7%,20%,-10%,-10%,20%,-9%,-8%,20%,20%,-10%,-4%,20%,-10%,-10%,-5%,20%,20%,20%,20%,-10%
20/08/2021,-10%,20%,-10%,5%,20%,2%,20%,20%,20%,-10%,-10%,-10%,-10%,8%,-10%,20%,20%,20%,6%,-10%
23/08/2021,-10%,20%,-10%,20%,-5%,11%,20%,20%,20%,20%,3%,-10%,-10%,20%,-10%,20%,2%,-1%,-10%,-10%
24/08/2021,-5%,20%,-6%,20%,-10%,0%,20%,20%,19%,20%,6%,-10%,-4%,20%,-10%,20%,9%,-10%,-10%,-10%
25/08/2021,-10%,-10%,14%,20%,1%,11%,20%,20%,-10%,20%,-1%,-10%,20%,7%,-10%,-3%,20%,-10%,-10%,20%
26/08/2021,-10%,-10%,20%,20%,12%,9%,13%,20%,-10%,20%,16%,-10%,20%,-10%,-10%,-10%,20%,-10%,-10%,20%
27/08/2021,-10%,-10%,20%,20%,20%,0%,-3%,20%,-10%,20%,20%,-10%,20%,-10%,-10%,-10%,15%,-10%,12%,17%
30/08/2021,9%,-10%,20%,20%,-10%,3%,10%,20%,-10%,20%,20%,-10%,-5%,20%,-10%,-10%,6%,20%,8%,-10%
31/08/2021,20%,-10%,20%,20%,4%,9%,-10%,20%,-5%,-1%,20%,-10%,-10%,20%,-10%,15%,8%,-10%,20%,-10%
01/09/2021,20%,-10%,20%,20%,20%,12%,-10%,20%,10%,-10%,9%,-10%,-10%,20%,-10%,20%,-10%,-10%,20%,-10%
02/09/2021,20%,13%,20%,-10%,20%,8%,-10%,3%,20%,-10%,-5%,-10%,-10%,20%,-10%,20%,-10%,20%,20%,-9%
03/09/2021,20%,-10%,20%,-10%,-10%,3%,-2%,12%,20%,20%,1%,-10%,-10%,20%,-10%,20%,-10%,17%,20%,-1%
07/09/2021,20%,-10%,20%,-10%,-10%,6%,2%,20%,20%,20%,1%,-10%,-10%,20%,-10%,20%,-10%,11%,20%,-10%
08/09/2021,20%,-10%,20%,-10%,-10%,20%,-10%,-10%,20%,20%,20%,-10%,-10%,20%,20%,17%,-10%,7%,-6%,2%
09/09/2021,19%,-10%,18%,2%,-10%,18%,-10%,20%,-10%,20%,13%,20%,20%,20%,20%,-10%,-10%,-10%,-10%,-10%
10/09/2021,-10%,-10%,20%,-10%,20%,20%,-10%,20%,-10%,20%,20%,20%,9%,20%,20%,-10%,-10%,-10%,1%,-10%
13/09/2021,-10%,19%,-10%,6%,20%,-2%,-10%,-10%,-8%,20%,20%,20%,-1%,20%,20%,-10%,8%,-10%,20%,-1%
14/09/2021,-10%,20%,-10%,20%,20%,1%,-2%,13%,20%,20%,20%,-10%,-10%,20%,15%,-10%,-10%,-10%,12%,-10%
15/09/2021,-10%,20%,-10%,20%,20%,0%,-3%,5%,20%,8%,20%,-10%,-10%,20%,-10%,2%,14%,-10%,20%,-6%
16/09/2021,-10%,20%,-10%,20%,19%,10%,-10%,20%,20%,20%,20%,-10%,-8%,20%,-10%,-10%,20%,-10%,-1%,-10%
17/09/2021,-10%,20%,20%,19%,20%,20%,-10%,-10%,20%,-10%,20%,-10%,17%,20%,-10%,-6%,20%,-10%,-10%,-10%
20/09/2021,-10%,-8%,-10%,-10%,20%,20%,-10%,-10%,20%,-10%,18%,20%,-10%,20%,-10%,20%,20%,20%,20%,-10%
21/09/2021,-10%,-10%,-10%,-10%,20%,4%,-10%,-10%,20%,-10%,-10%,20%,6%,20%,20%,20%,20%,20%,20%,-10%
22/09/2021,-10%,-10%,-10%,-10%,20%,11%,-10%,-10%,0%,17%,8%,20%,20%,20%,20%,20%,4%,20%,-10%,-10%
23/09/2021,20%,-10%,-10%,-10%,-10%,-10%,20%,20%,-10%,20%,-10%,20%,20%,20%,20%,20%,-10%,20%,-10%,-10%
24/09/2021,7%,-10%,-10%,-10%,-9%,5%,-3%,20%,-10%,20%,2%,20%,20%,20%,20%,20%,-4%,6%,-10%,6%
27/09/2021,-9%,-10%,-1%,7%,12%,7%,-10%,-10%,-10%,20%,9%,20%,20%,20%,20%,20%,0%,-9%,-10%,14%
28/09/2021,-10%,-10%,-6%,-10%,20%,11%,-10%,-10%,-10%,20%,-5%,20%,20%,9%,20%,20%,13%,-10%,9%,20%
29/09/2021,-10%,-10%,-10%,-10%,20%,15%,-10%,-10%,-5%,20%,-10%,18%,20%,20%,20%,20%,20%,-10%,-3%,16%
30/09/2021,-10%,6%,-7%,-9%,20%,-6%,20%,19%,20%,-6%,15%,20%,-5%,20%,-7%,-6%,-6%,9%,20%,-6%
01/10/2021,19%,-1%,-10%,-10%,20%,2%,-10%,-10%,-10%,20%,-9%,20%,20%,-10%,20%,20%,20%,20%,-1%,-10%
04/10/2021,2%,20%,-10%,-1%,3%,4%,-10%,-10%,-10%,20%,-7%,20%,20%,-1%,20%,20%,20%,20%,-10%,-10%
05/10/2021,-10%,20%,-10%,20%,20%,3%,-9%,20%,-10%,20%,3%,1%,20%,-10%,-10%,20%,13%,19%,-10%,-10%
06/10/2021,-10%,20%,-10%,11%,20%,-1%,-10%,20%,6%,20%,3%,14%,20%,14%,-10%,20%,3%,-10%,-10%,-10%
07/10/2021,-10%,20%,-10%,5%,20%,4%,-6%,20%,20%,11%,6%,-10%,20%,20%,-10%,1%,2%,17%,-10%,-10%
08/10/2021,-8%,20%,-10%,14%,20%,-5%,1%,20%,20%,3%,9%,-10%,-7%,20%,4%,-10%,-4%,20%,14%,-10%
11/10/2021,-4%,20%,-10%,20%,20%,1%,-10%,9%,20%,-10%,10%,-10%,-10%,20%,20%,-10%,-6%,20%,20%,-10%
12/10/2021,16%,20%,-10%,-10%,20%,16%,-5%,19%,20%,-10%,3%,-10%,-10%,20%,-10%,0%,-3%,20%,20%,-6%
13/10/2021,-3%,20%,20%,-7%,20%,20%,-3%,20%,20%,-10%,-4%,-10%,-6%,20%,-10%,-10%,-7%,20%,20%,-10%
14/10/2021,4%,20%,-10%,4%,-4%,13%,8%,20%,20%,-10%,5%,-10%,20%,20%,-10%,-10%,-10%,20%,20%,-10%
15/10/2021,-10%,20%,20%,-10%,4%,5%,1%,-1%,20%,-10%,1%,12%,20%,20%,-10%,-10%,-10%,20%,20%,-1%
18/10/2021,-7%,20%,11%,20%,-10%,4%,-1%,-9%,20%,-10%,4%,-7%,20%,20%,2%,-10%,-10%,20%,20%,3%
19/10/2021,9%,-10%,-6%,-10%,-10%,4%,-6%,7%,20%,3%,4%,12%,20%,20%,20%,-10%,-10%,18%,20%,6%
20/10/2021,12%,-10%,11%,-10%,-10%,6%,-10%,-10%,15%,20%,-1%,-2%,12%,20%,20%,20%,-10%,20%,-6%,13%
21/10/2021,20%,20%,-10%,-10%,-6%,6%,2%,-2%,20%,20%,2%,-10%,-10%,20%,-10%,20%,-10%,20%,20%,-2%
22/10/2021,10%,-2%,-10%,-10%,20%,5%,2%,-10%,20%,20%,6%,-2%,-6%,20%,-10%,20%,-1%,18%,20%,-10%
25/10/2021,-6%,-5%,-10%,-10%,20%,11%,7%,-10%,20%,7%,8%,4%,6%,20%,-10%,20%,-1%,19%,20%,-10%
26/10/2021,-10%,-1%,-10%,-10%,20%,20%,14%,-10%,20%,-10%,14%,-4%,7%,20%,-7%,20%,-3%,20%,20%,-10%
27/10/2021,-10%,10%,-10%,19%,17%,20%,13%,-10%,20%,-10%,3%,-10%,-2%,20%,-10%,20%,-10%,20%,20%,-10%
28/10/2021,-10%,20%,-10%,20%,-2%,18%,8%,20%,11%,-10%,-1%,-10%,-5%,20%,-10%,20%,-10%,20%,20%,-10%
29/10/2021,-10%,20%,-10%,20%,-10%,5%,9%,20%,15%,-10%,0%,-10%,4%,8%,-10%,20%,9%,20%,20%,-10%
01/11/2021,-10%,20%,-10%,20%,-10%,19%,1%,20%,4%,-10%,-9%,-10%,3%,14%,-10%,20%,20%,19%,-10%,20%
02/11/2021,-2%,20%,-10%,-10%,-4%,20%,12%,-10%,9%,20%,6%,-10%,4%,-4%,-10%,20%,20%,20%,-10%,20%
03/11/2021,20%,-10%,20%,20%,20%,-10%,-10%,-10%,20%,20%,-10%,20%,-10%,20%,20%,-10%,-10%,-10%,20%,-10%
04/11/2021,-10%,12%,20%,-10%,20%,20%,20%,-10%,-5%,-6%,19%,-10%,-10%,20%,-10%,20%,20%,20%,-10%,-10%
05/11/2021,-10%,-10%,20%,11%,20%,-4%,20%,20%,10%,-10%,20%,-10%,-10%,20%,11%,-10%,11%,20%,-10%,-10%
08/11/2021,-10%,-10%,20%,4%,20%,1%,20%,-10%,20%,-10%,15%,20%,-10%,9%,20%,-10%,-10%,20%,-5%,5%
09/11/2021,-10%,-10%,20%,-10%,6%,-10%,20%,9%,20%,-10%,17%,20%,-10%,20%,20%,-10%,-10%,18%,-10%,20%
10/11/2021,-10%,-10%,20%,-10%,9%,-10%,-9%,-10%,20%,20%,16%,20%,-9%,8%,20%,-10%,8%,-3%,20%,20%
11/11/2021,-10%,-9%,-4%,-10%,-10%,-10%,6%,-8%,20%,1%,3%,-10%,20%,20%,20%,20%,0%,20%,20%,20%
12/11/2021,-7%,-10%,20%,-10%,-6%,-10%,-10%,20%,2%,-10%,18%,-10%,11%,20%,20%,20%,13%,19%,20%,-10%
15/11/2021,-10%,16%,-10%,-10%,12%,2%,-10%,20%,-10%,-10%,20%,-10%,20%,20%,20%,20%,20%,-10%,20%,-10%
16/11/2021,20%,20%,2%,6%,-5%,-10%,-4%,20%,-10%,-10%,20%,-10%,6%,20%,20%,20%,-1%,-10%,16%,-10%
17/11/2021,20%,20%,10%,20%,10%,-2%,-10%,2%,-10%,-10%,20%,-10%,-10%,20%,20%,6%,10%,15%,-10%,-10%
18/11/2021,20%,20%,20%,17%,-8%,13%,-10%,-10%,-9%,-10%,17%,-10%,11%,20%,-10%,20%,8%,20%,-10%,-10%
19/11/2021,20%,20%,20%,-10%,20%,19%,17%,-3%,-3%,-10%,-4%,-10%,-10%,20%,-10%,5%,5%,20%,4%,-10%
22/11/2021,20%,3%,18%,-10%,20%,20%,18%,-10%,-7%,20%,-10%,-10%,-10%,20%,-10%,1%,5%,20%,13%,-10%
23/11/2021,20%,-10%,4%,-10%,20%,9%,20%,-10%,-3%,20%,-10%,-10%,-3%,20%,-10%,20%,3%,20%,20%,-10%
24/11/2021,20%,-10%,-10%,-10%,20%,5%,5%,-10%,6%,20%,-10%,-10%,20%,20%,-10%,-5%,15%,20%,4%,20%
26/11/2021,15%,-10%,-10%,-10%,20%,-5%,-10%,-10%,20%,20%,-10%,20%,20%,11%,-10%,2%,20%,20%,-10%,17%
29/11/2021,-1%,-10%,-2%,-10%,20%,-10%,6%,17%,20%,-10%,20%,20%,3%,20%,20%,-10%,20%,6%,-10%,-10%
30/11/2021,20%,20%,2%,20%,-10%,20%,20%,-10%,20%,-10%,20%,20%,-10%,20%,-10%,-10%,8%,-10%,-10%,-10%
01/12/2021,20%,20%,-9%,20%,20%,20%,5%,2%,20%,-10%,20%,-10%,-10%,20%,-10%,-10%,20%,-8%,-10%,-10%
02/12/2021,20%,15%,-10%,19%,-9%,4%,-1%,20%,20%,20%,20%,2%,-10%,20%,-10%,-10%,20%,-10%,-10%,-10%
03/12/2021,20%,-10%,-10%,-10%,10%,-10%,-10%,-10%,20%,14%,10%,20%,-10%,20%,20%,14%,20%,-10%,-7%,20%
06/12/2021,-10%,-10%,-10%,-10%,20%,-10%,-10%,11%,20%,7%,13%,20%,-10%,20%,20%,-10%,20%,2%,11%,16%
07/12/2021,-10%,-10%,-10%,-8%,20%,-10%,-10%,20%,20%,8%,18%,20%,-10%,20%,20%,-10%,12%,-10%,20%,10%
08/12/2021,20%,-10%,-10%,20%,20%,-10%,-10%,-8%,20%,-10%,20%,20%,-10%,4%,20%,-9%,20%,-10%,14%,8%
09/12/2021,20%,-10%,-10%,20%,20%,2%,-10%,-7%,20%,2%,13%,20%,-10%,-6%,20%,-7%,18%,-10%,17%,-2%
10/12/2021,20%,15%,-10%,18%,20%,-6%,-10%,-10%,20%,-10%,20%,20%,-4%,-10%,20%,-8%,15%,-10%,20%,-10%
13/12/2021,20%,5%,-10%,-10%,20%,-9%,-10%,-10%,20%,-10%,20%,20%,-10%,-10%,19%,20%,20%,12%,13%,-10%
14/12/2021,7%,10%,-10%,-10%,20%,-10%,-10%,-10%,20%,-10%,20%,20%,11%,-10%,2%,20%,20%,20%,9%,-9%
15/12/2021,20%,-8%,-7%,-10%,20%,-6%,-10%,2%,20%,-10%,20%,20%,-5%,1%,-3%,20%,20%,20%,4%,-7%
16/12/2021,-10%,-10%,2%,-10%,20%,-5%,-6%,-10%,20%,13%,4%,20%,2%,-10%,14%,20%,20%,20%,2%,6%
17/12/2021,-10%,-10%,8%,-10%,20%,-7%,-10%,-10%,20%,-10%,19%,15%,16%,-10%,20%,20%,12%,20%,7%,0%
20/12/2021,-10%,-10%,9%,-2%,8%,-6%,-10%,-10%,20%,-10%,20%,20%,1%,-10%,20%,20%,20%,20%,20%,-10%
21/12/2021,-10%,-10%,-1%,-2%,20%,-10%,-10%,-10%,14%,9%,20%,20%,20%,-10%,20%,20%,20%,-10%,20%,-10%
22/12/2021,20%,20%,-8%,-1%,-10%,7%,7%,20%,19%,-10%,20%,20%,-10%,-10%,-7%,20%,3%,-10%,20%,-10%
